"KT20(X), created by Plot Digitizer, 2.6.6"
"Date: 24/06/16, 11:41:51 AM"


22
X,KT20
0.00,1.18668,
0.0471292,1.18165,
0.0963742,1.18303,
0.156979,1.19117,
0.220621,1.20315,
0.295623,1.22184,
0.378962,1.24729,
0.440332,1.27593,
0.507762,1.30448,
0.572919,1.33395,
0.649436,1.34331,
0.716859,1.32472,
0.766092,1.30110,
0.810027,1.26250,
0.842594,1.21802,
0.878941,1.15587,
0.915285,1.07255,
0.943299,1.00034,
0.966007,0.938721,
0.978116,0.898341,
0.990230,0.872056,
1.0000,0.846723,
