"rho4(R), created by Plot Digitizer, 2.6.6",
"Date: 24/06/16, 9:51:15 AM",
,
,
27,
R,rho4
0,3.04112
0.0456085,3.02911
0.109176,3.01626
0.152557,2.99401
0.197953,2.96143
0.24435,2.90833
0.311924,2.82364
0.380496,2.7082
0.411749,2.63524
0.45006,2.55175
0.499448,2.40637
0.543794,2.27144
0.599219,2.08485
0.653635,1.89831
0.714093,1.68079
0.760437,1.49458
0.791677,1.3909
0.816867,1.29771
0.842061,1.21476
0.868265,1.13177
0.894476,1.06926
0.913632,1.02752
0.931783,0.996053
0.951956,0.974747
0.971124,0.963722
0.986268,0.983581
1,1
